#Version=1.29F
#Management No,Class,Variable ID,Variable Name,Unit,Upper And Lower Limit Type (0: No/1 : Yes),Lower Limit Value,Upper Limit Value,Data Type,Data Count,Variable Length (0: Fixed / 1: Variable),SECS Data Type,Conversion Option,Value Type (0: Fixed / 1: Setup / 2: Default),Value,CPU Number,Device Type,Device No,Cache No,Comment
0,SV,10011,TC09_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10036,0,TC09_PV
0,SV,10012,TC10_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10038,0,TC10_PV
0,SV,10013,TC11_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10040,0,TC11_PV
0,SV,10014,TC12_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10042,0,TC12_PV
0,SV,10015,IRA01_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10080,0,IRA01_PV
0,SV,10016,IRA02_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10082,0,IRA02_PV
0,SV,10017,IRA03_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10084,0,IRA03_PV
0,SV,10018,IRA04_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10086,0,IRA04_PV
0,SV,10019,IRA05_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10088,0,IRA05_PV
0,SV,10020,IRA06_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10090,0,IRA06_PV
0,SV,10021,IRA07_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10092,0,IRA07_PV
0,SV,10022,IRA08_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10094,0,IRA08_PV
0,SV,10023,IRA09_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10096,0,IRA09_PV
0,SV,10024,IRA10_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10098,0,IRA10_PV
0,SV,10025,IRA11_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10100,0,IRA11_PV
0,SV,10026,IRA12_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10102,0,IRA12_PV
0,SV,10027,IRB01_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10140,0,IRB01_PV
0,SV,10028,IRB02_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10142,0,IRB02_PV
0,SV,10029,IRB03_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10144,0,IRB03_PV
0,SV,10030,IRB04_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10146,0,IRB04_PV
0,SV,10031,IRB05_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10148,0,IRB05_PV
0,SV,10032,IRB06_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10150,0,IRB06_PV
0,SV,10033,IRB07_PV,,0,0,0,F4,1,0,F4,0,1,0,1,D,10152,0,IRB07_PV
