#Version=1.31H
#Item No,Data Type,Data Count,Variable Length (0: Fixed / 1: Variable),Conversion Option
6,U2,1,0,0
8,ASCII,16,0,0
9,U2,1,0,0
10,ASCII,32,0,0
18,U2,1,0,0
19,ASCII,32,0,0
23,U2,1,0,0
24,U2,1,0,0
26,BOOL,1,0,0
30,U2,1,1,0
31,U4,1,0,0
34,U2,1,0,0
35,ASCII,8,0,0
36,U2,1,0,0
37,U2,1,0,0
38,U2,1,0,0
41,BIN,1,0,0
52,U2,1,0,0
53,BIN,1,0,0
54,ASCII,40,0,0
55,BIN,1,0,0
58,U1,1,0,0
59,U1,1,0,0
62,U1,1,0,0
64,ASCII,80,0,0
68,ASCII,6,0,0
